"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2004-3-11","88.51","89.00","89.36","88.41","","-0.49%"
"2004-3-12","89.12","88.34","89.42","88.29","","0.69%"
"2004-3-15","88.81","89.17","89.29","88.53","","-0.35%"
"2004-3-16","88.59","88.78","88.92","88.10","","-0.25%"
"2004-3-17","88.65","88.62","89.03","88.43","","0.07%"
"2004-3-18","87.70","88.73","88.75","87.36","","-1.07%"
"2004-3-19","88.16","87.62","88.32","87.56","","0.52%"
"2004-3-22","87.81","88.20","88.55","87.45","","-0.40%"
"2004-3-23","87.85","87.76","88.18","87.60","","0.05%"
"2004-3-24","88.93","87.74","88.98","87.61","","1.23%"
"2004-3-25","88.90","88.88","89.22","88.53","","-0.03%"
"2004-3-26","88.89","88.92","89.17","88.36","","-0.01%"
"2004-3-29","88.63","88.85","89.20","88.48","","-0.29%"
"2004-3-30","88.43","88.55","88.58","88.18","","-0.23%"
"2004-3-31","87.61","88.43","88.47","87.49","","-0.93%"
"2004-4-1","87.21","87.57","87.85","87.02","","-0.46%"
"2004-4-2","88.51","87.20","88.68","87.16","","1.49%"
"2004-4-5","89.22","88.59","89.43","88.53","","0.80%"
"2004-4-6","88.75","89.20","89.58","88.61","","-0.53%"
"2004-4-7","88.27","88.56","89.01","88.15","","-0.54%"
"2004-4-8","89.02","88.33","89.11","88.08","","0.85%"
"2004-4-12","88.95","88.93","89.11","88.83","","-0.08%"
"2004-4-13","89.83","88.95","90.08","88.85","","0.99%"
"2004-4-14","90.24","89.89","90.66","89.82","","0.46%"
"2004-4-15","90.06","90.28","90.64","89.93","","-0.20%"
"2004-4-16","89.94","90.02","90.44","89.58","","-0.13%"
"2004-4-19","89.80","89.75","89.90","89.39","","-0.16%"
"2004-4-20","90.49","89.86","90.64","89.85","","0.77%"
"2004-4-21","91.12","90.92","91.24","90.53","","0.70%"
"2004-4-22","90.82","91.16","91.37","90.73","","-0.33%"
"2004-4-23","91.08","90.63","91.34","90.50","","0.29%"
"2004-4-26","90.62","91.26","91.50","90.61","","-0.51%"
"2004-4-27","90.41","90.73","90.91","90.34","","-0.23%"
"2004-4-28","91.17","90.45","91.29","90.23","","0.84%"
"2004-4-29","90.57","91.21","91.56","90.36","","-0.66%"
"2004-4-30","90.48","90.58","90.89","90.34","","-0.10%"
"2004-5-3","90.76","90.63","90.92","90.43","","0.31%"
"2004-5-4","89.81","90.78","90.81","89.63","","-1.05%"
"2004-5-5","89.31","89.72","89.74","89.22","","-0.56%"
"2004-5-6","89.88","89.39","89.95","89.28","","0.64%"
"2004-5-7","91.13","89.90","91.27","89.58","","1.39%"
"2004-5-10","91.56","91.16","91.87","91.15","","0.47%"
"2004-5-11","91.66","91.69","92.10","91.37","","0.11%"
"2004-5-12","91.29","91.51","91.69","91.05","","-0.40%"
"2004-5-13","91.96","91.31","92.25","91.20","","0.73%"
"2004-5-14","91.66","92.10","92.29","91.48","","-0.33%"
"2004-5-17","91.00","91.61","91.73","90.51","","-0.72%"
"2004-5-18","91.25","90.92","91.33","90.79","","0.27%"
"2004-5-19","90.53","91.25","91.28","90.36","","-0.79%"
"2004-5-20","91.03","90.63","91.30","90.54","","0.55%"
"2004-5-21","90.49","90.83","90.87","90.07","","-0.59%"
"2004-5-24","90.48","90.52","90.95","90.39","","-0.01%"
"2004-5-25","89.84","90.61","90.68","89.71","","-0.71%"
"2004-5-26","89.72","89.86","89.92","89.48","","-0.13%"
"2004-5-27","88.67","89.78","89.92","88.59","","-1.17%"
"2004-5-28","88.95","88.67","89.05","88.47","","0.32%"
"2004-6-1","88.88","88.64","89.06","88.52","","-0.08%"
"2004-6-2","88.84","88.78","88.98","88.38","","-0.05%"
"2004-6-3","88.95","88.86","89.23","88.78","","0.12%"
"2004-6-4","88.54","88.98","89.47","88.48","","-0.46%"
"2004-6-7","88.25","88.41","88.57","88.08","","-0.33%"
"2004-6-8","88.51","88.22","88.59","88.04","","0.29%"
"2004-6-9","89.73","88.50","89.79","88.38","","1.38%"
"2004-6-10","89.25","89.76","89.82","89.14","","-0.53%"
"2004-6-11","90.01","90.00","90.19","89.20","","0.85%"
"2004-6-14","89.94","90.21","90.42","89.73","","-0.08%"
"2004-6-15","89.09","89.95","90.13","89.08","","-0.95%"
"2004-6-16","90.04","89.11","90.19","89.07","","1.07%"
"2004-6-17","89.60","90.05","90.10","89.50","","-0.49%"
"2004-6-18","89.08","89.76","90.10","89.04","","-0.58%"
"2004-6-21","89.29","89.07","89.41","88.99","","0.24%"
"2004-6-22","89.43","89.19","89.55","89.12","","0.16%"
"2004-6-23","89.42","89.30","89.58","88.82","","-0.01%"
"2004-6-24","88.75","89.39","89.65","88.62","","-0.75%"
"2004-6-25","88.88","88.74","89.15","88.67","","0.15%"
"2004-6-28","88.72","88.99","89.13","88.48","","-0.18%"
"2004-6-29","89.41","88.75","89.48","88.69","","0.78%"
"2004-6-30","88.80","89.34","89.58","88.73","","-0.68%"
"2004-7-1","88.79","88.84","89.06","88.63","","-0.01%"
"2004-7-2","87.97","88.88","89.07","87.94","","-0.92%"
"2004-7-5","88.23","88.03","88.29","87.97","","0.30%"
"2004-7-6","88.12","88.19","88.36","87.95","","-0.12%"
"2004-7-7","87.65","88.27","88.29","87.50","","-0.53%"
"2004-7-8","87.54","87.65","87.92","87.44","","-0.13%"
"2004-7-9","87.42","87.56","87.64","87.28","","-0.14%"
"2004-7-12","87.39","87.27","87.48","87.15","","-0.03%"
"2004-7-13","87.82","87.41","88.10","87.37","","0.49%"
"2004-7-14","87.58","87.80","87.95","87.37","","-0.27%"
"2004-7-15","87.99","87.67","88.07","87.63","","0.47%"
"2004-7-16","87.14","87.90","88.07","87.09","","-0.97%"
"2004-7-19","87.18","87.10","87.36","87.00","","0.05%"
"2004-7-20","87.83","87.18","87.91","87.13","","0.75%"
"2004-7-21","88.56","87.82","88.77","87.74","","0.83%"
"2004-7-22","88.45","88.42","88.61","88.11","","-0.12%"
"2004-7-23","89.26","88.38","89.32","88.32","","0.92%"
"2004-7-26","89.03","89.22","89.31","88.79","","-0.26%"
"2004-7-27","89.79","89.06","89.85","88.76","","0.85%"
"2004-7-28","89.75","89.68","90.14","89.58","","-0.04%"
"2004-7-29","89.95","89.83","90.29","89.57","","0.22%"
"2004-7-30","89.96","89.93","90.05","89.34","","0.01%"
"2004-8-2","89.75","89.71","89.88","89.37","","-0.23%"
"2004-8-3","89.57","89.86","90.02","89.48","","-0.20%"
"2004-8-4","89.68","89.60","90.19","89.53","","0.12%"
"2004-8-5","89.64","89.59","89.87","89.45","","-0.04%"
"2004-8-6","88.36","89.71","89.78","88.26","","-1.43%"
"2004-8-9","88.39","88.36","88.59","88.24","","0.03%"
"2004-8-10","88.79","88.43","88.80","88.21","","0.45%"
"2004-8-11","88.85","88.79","88.99","88.68","","0.07%"
"2004-8-12","88.69","88.81","88.94","88.38","","-0.18%"
"2004-8-13","87.90","88.81","89.29","87.88","","-0.89%"
"2004-8-16","87.96","87.87","88.18","87.82","","0.07%"
"2004-8-17","88.06","87.94","88.22","87.74","","0.11%"
"2004-8-18","88.08","88.04","88.33","87.89","","0.02%"
"2004-8-19","87.79","88.02","88.06","87.69","","-0.33%"
"2004-8-20","88.12","87.76","88.29","87.66","","0.38%"
"2004-8-23","89.06","88.15","89.09","88.04","","1.07%"
"2004-8-24","89.46","89.05","89.54","88.93","","0.45%"
"2004-8-25","89.42","89.45","89.61","89.23","","-0.04%"
"2004-8-26","89.30","89.44","89.67","89.22","","-0.13%"
"2004-8-27","89.77","89.33","89.83","89.05","","0.53%"
"2004-8-30","89.69","89.80","90.07","89.55","","-0.09%"
"2004-8-31","88.94","89.68","89.73","88.74","","-0.84%"
"2004-9-1","88.87","88.91","89.15","88.70","","-0.08%"
"2004-9-2","88.98","88.87","89.09","88.79","","0.12%"
"2004-9-3","89.63","88.94","89.75","88.76","","0.73%"
"2004-9-6","89.53","89.60","89.70","89.51","","-0.11%"
"2004-9-7","89.23","89.41","89.62","89.20","","-0.34%"
"2004-9-8","88.77","89.29","89.73","88.75","","-0.52%"
"2004-9-9","88.83","88.79","89.02","88.70","","0.07%"
"2004-9-10","88.39","88.55","88.94","88.11","","-0.50%"
"2004-9-13","88.55","88.29","88.73","88.26","","0.18%"
"2004-9-14","88.46","88.54","88.69","88.23","","-0.10%"
"2004-9-15","89.15","88.46","89.31","88.45","","0.78%"
"2004-9-16","88.79","89.15","89.22","88.74","","-0.40%"
"2004-9-17","88.91","88.82","89.11","88.67","","0.14%"
"2004-9-20","88.99","88.97","89.28","88.90","","0.09%"
"2004-9-21","88.13","88.97","89.01","87.99","","-0.97%"
"2004-9-22","88.51","88.11","88.71","88.06","","0.43%"
"2004-9-23","88.44","88.48","88.56","88.06","","-0.08%"
"2004-9-24","88.40","88.43","88.55","87.86","","-0.05%"
"2004-9-27","88.29","88.28","88.53","88.17","","-0.12%"
"2004-9-28","88.11","88.19","88.36","87.98","","-0.20%"
"2004-9-29","88.10","88.14","88.34","87.97","","-0.01%"
"2004-9-30","87.36","88.10","88.20","87.35","","-0.84%"
"2004-10-1","87.63","87.41","87.78","87.35","","0.31%"
"2004-10-4","88.38","87.72","88.60","87.70","","0.86%"
"2004-10-5","88.17","88.40","88.50","88.15","","-0.24%"
"2004-10-6","88.48","88.24","88.64","88.18","","0.35%"
"2004-10-7","88.34","88.44","88.49","88.22","","-0.16%"
"2004-10-8","87.45","88.31","88.39","87.35","","-1.01%"
"2004-10-11","87.54","87.45","87.60","87.44","","0.10%"
"2004-10-12","88.02","87.60","88.20","87.54","","0.55%"
"2004-10-13","87.88","87.98","88.57","87.74","","-0.16%"
"2004-10-14","87.55","87.85","87.98","87.36","","-0.38%"
"2004-10-15","87.09","87.61","87.85","86.91","","-0.53%"
"2004-10-18","87.02","87.09","87.24","86.82","","-0.08%"
"2004-10-19","86.84","87.13","87.34","86.77","","-0.21%"
"2004-10-20","86.35","86.84","86.98","86.13","","-0.56%"
"2004-10-21","86.02","86.41","86.44","85.90","","-0.38%"
"2004-10-22","85.87","86.06","86.20","85.82","","-0.17%"
"2004-10-25","84.97","85.47","85.65","84.75","","-1.05%"
"2004-10-26","85.21","84.91","85.34","84.73","","0.28%"
"2004-10-27","85.44","85.15","85.50","84.79","","0.27%"
"2004-10-28","85.28","85.46","85.89","85.04","","-0.19%"
"2004-10-29","84.91","85.20","85.37","84.87","","-0.43%"
"2004-11-1","85.20","84.70","85.37","84.68","","0.34%"
"2004-11-2","85.47","85.22","85.59","85.17","","0.32%"
"2004-11-3","84.70","85.33","85.66","84.62","","-0.90%"
"2004-11-4","84.54","84.66","84.88","84.31","","-0.19%"
"2004-11-5","84.01","84.48","85.07","83.97","","-0.63%"
"2004-11-8","84.09","83.88","84.17","83.76","","0.10%"
"2004-11-9","84.29","84.14","84.29","83.98","","0.24%"
"2004-11-10","84.43","84.22","84.67","83.70","","0.17%"
"2004-11-11","84.37","84.41","84.56","84.25","","-0.07%"
"2004-11-12","83.69","84.26","84.36","83.65","","-0.81%"
"2004-11-15","84.00","83.69","84.10","83.60","","0.37%"
"2004-11-16","83.80","84.03","84.10","83.62","","-0.24%"
"2004-11-17","83.29","83.83","83.88","83.26","","-0.61%"
"2004-11-18","83.69","83.32","83.90","83.10","","0.48%"
"2004-11-19","83.31","83.87","83.91","83.01","","-0.45%"
"2004-11-22","83.19","83.27","83.39","83.08","","-0.14%"
"2004-11-23","82.97","83.17","83.54","82.81","","-0.26%"
"2004-11-24","82.41","82.90","82.96","82.36","","-0.67%"
"2004-11-25","82.18","82.28","82.46","82.01","","-0.28%"
"2004-11-26","81.78","81.78","82.42","81.53","","-0.49%"
"2004-11-29","81.93","81.93","82.16","81.78","","0.18%"
"2004-11-30","81.82","82.03","82.22","81.57","","-0.13%"
"2004-12-1","81.56","81.81","81.88","81.55","","-0.32%"
"2004-12-2","81.95","81.45","82.13","81.18","","0.48%"
"2004-12-3","80.98","81.99","82.08","80.94","","-1.18%"
"2004-12-6","81.28","80.96","81.30","80.91","","0.37%"
"2004-12-7","81.24","81.40","81.43","80.92","","-0.05%"
"2004-12-8","81.90","81.25","82.73","81.21","","0.81%"
"2004-12-9","82.03","81.82","82.48","81.74","","0.16%"
"2004-12-10","82.55","82.17","83.18","82.08","","0.63%"
"2004-12-13","82.10","82.67","82.74","82.06","","-0.55%"
"2004-12-14","82.32","82.15","82.57","82.05","","0.27%"
"2004-12-15","81.63","82.30","82.56","81.42","","-0.84%"
"2004-12-16","82.50","81.65","82.67","81.38","","1.07%"
"2004-12-17","82.16","82.42","82.54","82.01","","-0.41%"
"2004-12-20","81.67","82.04","82.13","81.54","","-0.60%"
"2004-12-21","81.94","81.69","81.99","81.58","","0.33%"
"2004-12-22","81.93","81.91","82.12","81.73","","-0.01%"
"2004-12-23","81.34","81.95","81.96","81.30","","-0.72%"
"2004-12-24","81.22","81.36","81.45","81.14","","-0.15%"
"2004-12-27","80.72","81.28","81.37","80.54","","-0.62%"
"2004-12-28","80.72","80.67","80.89","80.54","","0.00%"
"2004-12-29","80.97","80.83","81.18","80.58","","0.31%"
"2004-12-30","80.53","80.87","81.00","80.42","","-0.54%"
"2004-12-31","80.85","80.64","81.11","80.39","","0.40%"
"2005-1-3","81.30","81.05","81.76","80.77","","0.56%"
"2005-1-4","82.57","81.36","82.71","81.18","","1.56%"
"2005-1-5","82.54","82.49","82.92","82.30","","-0.04%"
"2005-1-6","83.15","82.45","83.23","82.43","","0.74%"
"2005-1-7","83.61","83.07","83.79","82.61","","0.55%"
"2005-1-10","83.29","83.49","83.61","83.13","","-0.38%"
"2005-1-11","83.02","83.20","83.25","82.78","","-0.32%"
"2005-1-12","82.14","83.07","83.26","82.00","","-1.06%"
"2005-1-13","82.51","82.21","82.52","82.14","","0.45%"
"2005-1-14","83.06","82.47","83.31","82.43","","0.67%"
"2005-1-17","83.06","82.93","83.14","82.83","","0.00%"
"2005-1-18","83.36","83.55","83.66","83.14","","0.36%"
"2005-1-19","83.60","83.47","83.77","82.88","","0.29%"
"2005-1-20","83.84","83.58","83.99","83.40","","0.29%"
"2005-1-21","83.26","83.83","84.00","83.18","","-0.69%"
"2005-1-24","83.24","83.15","83.49","83.01","","-0.02%"
"2005-1-25","83.99","83.33","84.08","83.21","","0.90%"
"2005-1-26","83.30","83.95","83.95","83.08","","-0.82%"
"2005-1-27","83.43","83.27","83.61","83.04","","0.16%"
"2005-1-28","83.48","83.38","83.83","83.25","","0.06%"
"2005-1-31","83.60","83.60","83.84","83.39","","0.14%"
"2005-2-1","83.45","83.49","83.79","83.42","","-0.18%"
"2005-2-2","83.52","83.48","83.72","83.24","","0.08%"
"2005-2-3","83.97","83.55","84.11","83.52","","0.54%"
"2005-2-4","84.39","83.95","84.43","83.47","","0.50%"
"2005-2-7","85.04","84.53","85.29","84.47","","0.77%"
"2005-2-8","85.10","85.11","85.39","84.96","","0.07%"
"2005-2-9","85.02","85.15","85.30","84.87","","-0.09%"
"2005-2-10","84.54","84.91","85.44","84.36","","-0.56%"
"2005-2-11","84.57","84.58","84.75","84.42","","0.04%"
"2005-2-14","83.96","84.46","84.53","83.78","","-0.72%"
"2005-2-15","83.59","83.93","84.04","83.46","","-0.44%"
"2005-2-16","83.67","83.61","84.14","83.47","","0.10%"
"2005-2-17","83.47","83.78","83.84","83.36","","-0.24%"
"2005-2-18","83.49","83.45","83.78","83.41","","0.02%"
"2005-2-21","83.55","83.54","83.70","83.43","","0.07%"
"2005-2-22","82.41","82.78","83.57","82.40","","-1.36%"
"2005-2-23","82.68","82.44","82.97","82.40","","0.33%"
"2005-2-24","82.88","82.92","83.08","82.55","","0.24%"
"2005-2-25","82.66","83.00","83.17","82.63","","-0.27%"
"2005-2-28","82.51","82.57","82.70","82.30","","-0.18%"
"2005-3-1","82.77","82.65","82.88","82.55","","0.32%"
"2005-3-2","83.08","82.86","83.33","82.76","","0.37%"
"2005-3-3","83.28","83.07","83.37","82.98","","0.24%"
"2005-3-4","82.54","83.33","83.41","82.41","","-0.89%"
"2005-3-7","82.79","82.54","82.94","82.49","","0.30%"
"2005-3-8","81.98","82.70","82.75","81.85","","-0.98%"
"2005-3-9","81.63","81.95","82.02","81.50","","-0.43%"
"2005-3-10","81.57","81.78","81.81","81.36","","-0.07%"
"2005-3-11","81.42","81.49","81.75","81.28","","-0.18%"
"2005-3-14","81.97","81.32","82.16","81.31","","0.68%"
"2005-3-15","82.12","82.00","82.23","81.61","","0.18%"
"2005-3-16","81.62","82.17","82.24","81.47","","-0.61%"
"2005-3-17","81.84","81.63","82.04","81.59","","0.27%"
"2005-3-18","82.13","81.79","82.40","81.77","","0.35%"
"2005-3-21","82.88","82.11","83.08","82.06","","0.91%"
"2005-3-22","83.36","82.98","83.55","82.60","","0.58%"
"2005-3-23","84.00","83.42","84.10","83.32","","0.77%"
"2005-3-24","84.13","83.93","84.16","83.74","","0.15%"
"2005-3-28","84.62","84.30","84.74","84.09","","0.58%"
"2005-3-29","84.32","84.55","84.58","84.15","","-0.35%"
"2005-3-30","84.29","84.27","84.36","83.99","","-0.04%"
"2005-3-31","84.06","84.33","84.40","83.74","","-0.27%"
"2005-4-1","84.43","84.07","84.63","83.56","","0.44%"
"2005-4-4","84.78","84.50","84.98","84.44","","0.41%"
"2005-4-5","84.66","84.82","85.12","84.63","","-0.14%"
"2005-4-6","84.68","84.74","84.89","84.44","","0.02%"
"2005-4-7","84.87","84.76","84.91","84.32","","0.22%"
"2005-4-8","84.47","84.88","85.11","84.40","","-0.47%"
"2005-4-11","84.16","84.49","84.58","84.05","","-0.37%"
"2005-4-12","84.42","84.23","84.81","83.95","","0.31%"
"2005-4-13","84.42","84.49","84.76","84.19","","0.00%"
"2005-4-14","85.00","84.42","85.32","84.39","","0.69%"
"2005-4-15","84.56","85.17","85.27","84.35","","-0.52%"
"2005-4-18","84.00","84.50","84.73","83.88","","-0.66%"
"2005-4-19","83.76","84.01","84.16","83.70","","-0.29%"
"2005-4-20","83.52","83.61","84.06","83.40","","-0.29%"
"2005-4-21","83.70","83.53","83.87","83.38","","0.22%"
"2005-4-22","83.50","83.73","83.87","83.36","","-0.24%"
"2005-4-25","83.82","83.51","84.00","83.37","","0.38%"
"2005-4-26","83.96","83.81","84.15","83.70","","0.17%"
"2005-4-27","84.12","83.96","84.37","83.87","","0.19%"
"2005-4-28","84.35","84.26","84.42","84.09","","0.27%"
"2005-4-29","84.43","84.33","84.48","83.84","","0.09%"
"2005-5-2","84.49","84.46","84.65","84.42","","0.07%"
"2005-5-3","84.51","84.58","84.69","84.28","","0.02%"
"2005-5-4","84.00","84.38","84.46","83.89","","-0.60%"
"2005-5-5","83.94","83.97","84.08","83.75","","-0.07%"
"2005-5-6","84.61","83.94","84.69","83.90","","0.80%"
"2005-5-9","84.64","84.66","84.81","84.54","","0.04%"
"2005-5-10","84.45","84.56","84.78","84.39","","-0.22%"
"2005-5-11","84.94","84.41","85.06","84.22","","0.58%"
"2005-5-12","85.49","84.87","85.60","84.85","","0.65%"
"2005-5-13","86.10","85.66","86.13","85.58","","0.71%"
"2005-5-16","86.12","86.22","86.39","86.07","","0.02%"
"2005-5-17","86.21","86.08","86.29","85.96","","0.10%"
"2005-5-18","85.82","86.30","86.41","85.77","","-0.45%"
"2005-5-19","86.09","85.84","86.29","85.78","","0.31%"
"2005-5-20","86.63","86.12","86.74","85.99","","0.63%"
"2005-5-23","86.40","86.65","86.71","86.28","","-0.27%"
"2005-5-24","86.37","86.47","86.53","86.10","","-0.03%"
"2005-5-25","86.35","86.50","86.58","86.17","","-0.02%"
"2005-5-26","86.85","86.35","86.93","86.27","","0.58%"
"2005-5-27","86.42","86.86","86.88","86.38","","-0.50%"
"2005-5-31","87.76","86.90","87.80","86.86","","1.55%"
"2005-6-1","88.11","87.74","88.18","87.54","","0.40%"
"2005-6-2","87.75","88.30","88.35","87.70","","-0.41%"
"2005-6-3","88.04","87.86","88.17","87.37","","0.33%"
"2005-6-6","87.60","88.00","88.05","87.51","","-0.50%"
"2005-6-7","87.49","87.69","87.81","87.33","","-0.13%"
"2005-6-8","87.88","87.52","88.06","87.15","","0.45%"
"2005-6-9","88.07","87.89","88.31","87.80","","0.22%"
"2005-6-10","88.69","88.03","88.75","87.90","","0.70%"
"2005-6-13","88.95","88.72","89.35","88.67","","0.29%"
"2005-6-14","89.26","88.89","89.35","88.60","","0.35%"
"2005-6-15","88.65","89.30","89.36","88.55","","-0.68%"
"2005-6-16","88.72","88.62","88.99","88.29","","0.08%"
"2005-6-17","87.73","88.71","88.76","87.68","","-1.12%"
"2005-6-20","88.49","88.17","88.60","87.92","","0.87%"
"2005-6-21","88.18","88.49","88.95","88.15","","-0.35%"
"2005-6-22","88.56","88.22","88.76","88.05","","0.43%"
"2005-6-23","89.12","88.61","89.15","88.46","","0.63%"
"2005-6-24","88.78","89.11","89.35","88.69","","-0.38%"
"2005-6-27","88.45","88.72","88.83","88.32","","-0.37%"
"2005-6-28","88.99","88.41","89.05","88.36","","0.61%"
"2005-6-29","89.11","88.99","89.48","88.87","","0.13%"
"2005-6-30","89.11","89.10","89.39","88.86","","0.00%"
"2005-7-1","90.13","89.17","90.23","89.09","","1.14%"
"2005-7-4","90.43","90.28","90.53","90.18","","0.33%"
"2005-7-5","90.44","90.67","90.73","90.25","","0.01%"
"2005-7-6","90.38","90.33","90.58","90.20","","-0.07%"
"2005-7-7","90.28","90.38","90.51","89.76","","-0.11%"
"2005-7-8","90.25","90.29","90.77","90.00","","-0.03%"
"2005-7-11","89.46","90.18","90.24","89.40","","-0.88%"
"2005-7-12","88.41","89.52","89.59","88.28","","-1.17%"
"2005-7-13","89.31","88.45","89.47","88.41","","1.02%"
"2005-7-14","89.40","89.38","89.48","89.13","","0.10%"
"2005-7-15","89.72","89.41","89.82","89.10","","0.36%"
"2005-7-18","89.64","89.78","89.84","89.37","","-0.09%"
"2005-7-19","89.85","89.68","90.36","89.59","","0.23%"
"2005-7-20","89.34","89.98","90.31","89.13","","-0.57%"
"2005-7-21","88.93","89.35","89.45","88.44","","-0.46%"
"2005-7-22","89.64","88.97","89.68","88.86","","0.80%"
"2005-7-25","89.60","89.75","89.90","89.50","","-0.04%"
"2005-7-26","90.00","89.61","90.26","89.55","","0.45%"
"2005-7-27","89.73","90.10","90.45","89.67","","-0.30%"
"2005-7-28","89.34","89.85","90.01","89.22","","-0.43%"
"2005-7-29","89.35","89.37","89.66","89.15","","0.01%"
"2005-8-1","88.80","89.41","89.44","88.53","","-0.62%"
"2005-8-2","88.76","88.90","88.97","88.36","","-0.05%"
"2005-8-3","87.99","88.76","89.05","87.93","","-0.87%"
"2005-8-4","87.80","88.02","88.23","87.61","","-0.22%"
"2005-8-5","88.06","87.76","88.30","87.70","","0.30%"
"2005-8-8","87.92","88.18","88.29","87.73","","-0.16%"
"2005-8-9","87.89","87.99","88.11","87.60","","-0.03%"
"2005-8-10","87.61","87.82","87.97","87.45","","-0.32%"
"2005-8-11","87.10","87.60","87.61","87.04","","-0.58%"
"2005-8-12","86.98","86.92","87.33","86.76","","-0.14%"
"2005-8-15","87.32","86.89","87.49","86.83","","0.39%"
"2005-8-16","87.43","87.34","87.72","87.27","","0.13%"
"2005-8-17","88.00","87.47","88.02","87.35","","0.65%"
"2005-8-18","88.59","87.94","88.70","87.86","","0.67%"
"2005-8-19","88.58","88.55","88.90","88.46","","-0.01%"
"2005-8-22","88.14","88.59","88.66","88.05","","-0.50%"
"2005-8-23","88.08","88.10","88.38","88.03","","-0.07%"
"2005-8-24","87.91","88.10","88.58","87.82","","-0.19%"
"2005-8-25","87.64","87.89","87.99","87.53","","-0.31%"
"2005-8-26","87.86","87.73","87.90","87.43","","0.25%"
"2005-8-29","88.25","87.74","88.29","87.45","","0.44%"
"2005-8-30","88.35","88.19","88.68","88.15","","0.11%"
"2005-8-31","87.58","88.37","88.56","87.43","","-0.87%"
"2005-9-1","86.55","87.59","87.68","86.37","","-1.18%"
"2005-9-2","86.30","86.61","86.72","86.02","","-0.29%"
"2005-9-6","86.57","86.64","86.82","86.24","","0.31%"
"2005-9-7","86.97","86.72","87.02","86.29","","0.46%"
"2005-9-8","87.04","86.97","87.14","86.73","","0.08%"
"2005-9-9","86.89","87.08","87.20","86.58","","-0.17%"
"2005-9-12","87.71","86.84","87.72","86.75","","0.94%"
"2005-9-13","87.75","87.65","87.92","87.49","","0.05%"
"2005-9-14","87.67","87.72","87.83","87.35","","-0.09%"
"2005-9-15","88.13","87.69","88.21","87.62","","0.52%"
"2005-9-16","88.05","88.03","88.30","87.61","","-0.09%"
"2005-9-19","88.44","88.52","88.81","88.33","","0.44%"
